"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","i","w","W","V","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR"
"15412","2019-018C","FLOCK 4A-2","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.7,0,0,0,97.5,512,492,0,0,0,"u","","2022-08-14",6879.19,0.000692439,1.70091,0.0716454,5.09587,2.63876,-2685.82,5659.51,2852.55,-0.359016,3.28614,-6.85165,-5600.23,2813.11,2846.86,-2.0847,2.7906,-6.85232,2022,2019-01-01
"15413","2019-018D","FLOCK 4A-3","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.7,0,0,0,97.5,512,491,0,0,0,"u","","2022-11-02",6865.69,0.00363731,1.70104,0.898281,0.197856,3.46666,-2465.4,363.744,-6422.82,6.93743,1.73217,-2.55534,-1612.6,1881.72,-6428.2,6.51593,-3.12558,-2.54007,2022,2019-01-01
"15414","2019-018E","FLOCK 4A-4","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.7,0,0,0,97.5,512,491,0,0,0,"u","","2022-09-03",6881.4,0.00140667,1.70089,2.94843,5.44445,6.24343,-4622.12,4835.63,1572.7,-0.460001,1.95117,-7.35314,-5903.21,3151.29,1562.76,-0.800772,2.14597,-7.35407,2022,2019-01-01
"15415","2019-018F","ASTROCAST 0.2","plat","+","u","u","SWTZ","SRILR","2019-04-01","1858-11-16",94.7,0,0,0,97.5,513,491,0,0,0,"u","","2022-10-13",6870.3,0.00226559,1.70121,2.00259,6.17103,5.23007,3888.42,-1168.19,5532.67,-6.23456,0.122883,4.38906,3189.42,-2493.68,5541.13,-5.95706,2.14466,4.37541,2022,2019-01-01
"15416","2019-018G","LEMUR-2-JOHANLORAN","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.6,0,0,0,97.5,512,490,0,0,0,"u","","2022-11-22",6858.22,0.0021947,1.70102,5.74375,0.599748,2.59702,-2208.11,-2465.2,6021.53,-5.81542,-3.41763,-3.52181,-3237.41,729.054,6016.6,-5.77101,3.6254,-3.53467,2022,2019-01-01
"15417","2019-018H","LEMUR-2-BEAUDACIOUS","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.6,0,0,0,97.5,512,490,0,0,0,"u","","2022-08-14",6857.29,0.00218065,1.70104,5.52372,5.14739,2.73299,-1879.35,2096.23,6267.74,-2.6005,6.51348,-2.95092,-2781.21,491.639,6263.7,-6.01163,3.75015,-2.95639,2022,2019-01-01
"15418","2019-018J","LEMUR-2-ELHAM","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.6,0,0,0,97.5,512,490,0,0,0,"u","","2022-09-23",6851.2,0.00114621,1.70106,3.22156,5.85787,4.7432,-1054.86,-493.142,6751.27,-6.85913,3.22842,-0.844768,-1082.44,-464.519,6748.93,-6.8022,3.48989,-0.85965,2022,2019-01-01
"15419","2019-018K","LEMUR-2-VICTOR-ANDREW","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.6,0,0,0,97.5,511,490,0,0,0,"u","","2022-09-23",6865.96,0.00179383,1.70092,2.29808,5.85627,1.35163,-5278.59,2877.22,-3310.95,3.72319,-0.743402,-6.6095,-5192.38,3017.49,-3322.38,3.93641,-0.464415,-6.60137,2022,2019-01-01
"15420","2019-018L","FLOCK 4A-17","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.6,0,0,0,97.5,512,490,0,0,0,"u","","2022-12-12",6861.1,0.00219021,1.70107,4.37659,0.910722,3.51068,564.814,-728.053,6813.08,-4.68801,-5.9846,-0.256956,-626.149,-663.709,6814.29,-6.73192,3.66753,-0.267442,2022,2019-01-01
"15421","2019-018M","FLOCK 4A-18","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.6,0,0,0,97.5,512,490,0,0,0,"u","","2022-08-14",6877.9,0.000554812,1.70093,0.0396905,5.1051,0.456874,1920.44,-5746.74,3247.36,-2.19098,3.01822,6.6409,5039.39,-3360.29,3251.37,-3.83906,0.659892,6.63619,2022,2019-01-01
