"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","26","27","28","29","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR","count"
"15532","2019-029BM","Starlink65","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-23",6917,0,0.925025,0,0,1.98083,6917,0,0,0,4.56849,6.0626,6910.29,-304.135,15.1093,0.165457,4.06057,6.06272,2022,2019-01-01,1
"15533","2019-029BN","Starlink66","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-05",6917,0,0.925025,0,0,2.67304,6917,0,0,0,4.56849,6.0626,6701.31,-1713.8,15.1259,0.994058,3.94049,6.06272,2022,2019-01-01,1
"15534","2019-030A","Starlink67","plat","+","LEO","comms","USA","AFETR",2019-06-22,"2029-06-21",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-04",6917,0,0.925025,0,0.261799,2.30337,6681.31,1790.25,0,-1.18241,4.41283,6.0626,6111.26,-3239.92,14.7026,1.89378,3.59962,6.06011,2022,2019-01-01,1
"15535","2019-030B","Starlink68","plat","+","LEO","comms","USA","AFETR",2019-06-22,"2029-06-21",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-04",6917,0,0.925025,0,0.261799,5.68346,6681.31,1790.25,0,-1.18241,4.41283,6.0626,5916.03,3584.03,14.6212,-2.11845,3.47213,6.06013,2022,2019-01-01,1
"15536","2019-030C","Starlink69","plat","+","LEO","comms","USA","AFETR",2019-06-22,"2029-06-21",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-27",6917,0,0.925025,0,0.261799,1.18819,6681.31,1790.25,0,-1.18241,4.41283,6.0626,5368.27,4361.92,14.6137,-2.57485,3.1486,6.06013,2022,2019-01-01,1
"15537","2019-030D","Starlink70","plat","+","LEO","comms","USA","AFETR",2019-06-22,"2029-06-21",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-25",6917,0,0.925025,0,0.261799,3.70486,6681.31,1790.25,0,-1.18241,4.41283,6.0626,6537.85,-2258.59,14.682,1.31595,3.84862,6.06012,2022,2019-01-01,1
"15538","2019-030E","Starlink71","plat","+","LEO","comms","USA","AFETR",2019-06-22,"2029-06-21",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-08",6917,0,0.925025,0,0.261799,3.04453,6681.31,1790.25,0,-1.18241,4.41283,6.0626,3683.69,5854.5,14.5778,-3.44939,2.15529,6.06012,2022,2019-01-01,1
"15539","2019-030F","Starlink72","plat","+","LEO","comms","USA","AFETR",2019-06-22,"2029-06-21",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-30",6917,0,0.925025,0,0.261799,2.11999,6681.31,1790.25,0,-1.18241,4.41283,6.0626,6884.18,672.821,14.6513,-0.40841,4.04682,6.06013,2022,2019-01-01,1
"15540","2019-030G","Starlink73","plat","+","LEO","comms","USA","AFETR",2019-06-22,"2029-06-21",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-11",6917,0,0.925025,0,0.261799,3.88223,6681.31,1790.25,0,-1.18241,4.41283,6.0626,6303.63,2847.62,14.6336,-1.68615,3.7014,6.06013,2022,2019-01-01,1
"15541","2019-030H","Starlink74","plat","+","LEO","comms","USA","AFETR",2019-06-22,"2029-06-21",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-06",6917,0,0.925025,0,0.261799,1.10866,6681.31,1790.25,0,-1.18241,4.41283,6.0626,6035.83,3378.38,14.6279,-1.99775,3.54295,6.06013,2022,2019-01-01,1
